dialogue,anger,disgust,fear,joy,neutral,sadness,surprise,age,gender,pitch,tempo,loudness
You are not required to set yourself on fire to keep others warm.,0.441455692,0.040266551,0.020009259,0.003632812,0.475233942,0.014757441,0.004644279,,,,,
"Coffee in one hand, confidence in the other.",0.02101863,0.072161391,0.010248582,0.533324182,0.352430314,0.005465613,0.005351298,,,,,
There is a shade of red for every woman.,0.003174332,0.008228673,0.000976129,0.003191704,0.965716302,0.007178918,0.011533853,,,,,
Your vibe attracts your tribe.,0.016072782,0.083562747,0.002525613,0.20495598,0.669713914,0.010853464,0.012315501,,,,,
Never underestimate the power of a good outfit on a bad day.,0.091202654,0.042994373,0.059755694,0.052347612,0.555343807,0.055813044,0.142542899,,,,,
"She believed she could, so she did.",0.427433997,0.05864127,0.0073929,0.030102987,0.447464824,0.009723804,0.019240193,,,,,
Behind every successful woman is a tribe of other successful women who have her back.,0.007451976,0.00429573,0.001431572,0.051624529,0.892960429,0.00412756,0.0381082,,,,,
Life is too short to wear boring clothes.,0.007392779,0.028333033,0.002120892,0.003301045,0.055234276,0.899656892,0.00396105,,,,,
Empowered women empower women.,0.042505674,0.086941607,0.004345112,0.176560059,0.675218999,0.006303962,0.008124541,,,,,
Confidence is silent; insecurities are loud.,0.031065268,0.090135798,0.022419447,0.004302294,0.762534916,0.086460188,0.003082077,,,,,
Own your story; it's what makes you unique.,0.02162634,0.00761263,0.004587913,0.025182741,0.914916813,0.002429901,0.023643631,,,,,
"Surround yourself with those who bring out the best in you, not the stress in you.",0.017932406,0.041615684,0.010719292,0.045012474,0.870190084,0.005172287,0.009357695,,,,,
Don't just exist; live with intention.,0.082861885,0.015305537,0.00379896,0.004365165,0.886239529,0.004661541,0.002767497,,,,,
Embrace the glorious mess that you are.,0.020372424,0.005631934,0.00433218,0.709926128,0.246641994,0.005260683,0.007834613,,,,,
You are your best thing.,0.051501751,0.04605037,0.002317197,0.04668323,0.84424758,0.003976167,0.005223762,,,,,
Create your own sunshine.,0.022715887,0.00614111,0.001099749,0.081734829,0.866541088,0.008680173,0.013087112,,,,,
"Darling, you are a work of art.",0.188553914,0.602908671,0.002666494,0.00652626,0.156946987,0.007883982,0.03451366,,,,,
Real queens fix each other's crowns.,0.019689158,0.024951935,0.001503849,0.012403842,0.915336311,0.013106774,0.013008125,,,,,
Shine like the whole universe is yours.,0.015204437,0.060494062,0.01279711,0.030748405,0.859473646,0.013458475,0.00782379,,,,,
Beautiful minds inspire others.,0.009961864,0.018880332,0.00306188,0.760825574,0.190809801,0.004680706,0.011779828,,,,,
"Life is tough, my darling, but so are you.",0.00719145,0.018229827,0.048435319,0.024429461,0.13990508,0.754814863,0.006993997,,,,,
The only limit to our realization of tomorrow will be our doubts of today.,0.008506762,0.012269777,0.208490878,0.012440614,0.72674334,0.020215938,0.011332754,,,,,
The most beautiful thing a woman can wear is confidence.,0.009005053,0.05860291,0.006002106,0.480296284,0.433448315,0.006621363,0.006023937,,,,,
"Success is not final, failure is not fatal: It is the courage to continue that counts.",0.01287731,0.011172429,0.048931867,0.085168369,0.828514814,0.009531768,0.003803508,,,,,
Beauty begins the moment you decide to be yourself.,0.013743578,0.043279763,0.028390553,0.163123399,0.73965919,0.003927109,0.007876463,,,,,
You are not a drop in the ocean; you are the entire ocean in a drop.,0.027553549,0.037459336,0.017008882,0.003220588,0.744130015,0.008535985,0.162091643,,,,,
Life is either a daring adventure or nothing at all.,0.016712531,0.005652737,0.210247323,0.158274427,0.461842597,0.010764948,0.13650541,,,,,
Success isn't about how much money you make; it's about the difference you make in people's lives.,0.023296246,0.012655723,0.003046671,0.045191031,0.889490783,0.002974469,0.023344953,,,,,
"Sometimes, the best way to solve a problem is to stop thinking about it.",0.040256858,0.189178139,0.006160094,0.005170644,0.737261236,0.019638523,0.002334533,,,,,
Your value doesn't decrease based on someone's inability to see your worth.,0.05519031,0.045638762,0.003392547,0.003296174,0.874400198,0.008510054,0.009571899,,,,,
The most important relationship in your life is the one you have with yourself.,0.015902035,0.032836244,0.010931479,0.328814566,0.556834638,0.047757559,0.006923511,,,,,
Surround yourself with those who see your value and remind you of it.,0.015076445,0.049280915,0.01203749,0.077277906,0.82702297,0.00265234,0.016651938,,,,,
Life is too short to waste on hating anyone.,0.3335253,0.501984358,0.002754711,0.00396055,0.103366576,0.051864438,0.002544088,,,,,
Every flower must grow through dirt to reach the sunshine.,0.026007527,0.122411124,0.003333671,0.0072513,0.818184316,0.017184174,0.005627946,,,,,
The way you speak to yourself matters the most.,0.022083836,0.05617151,0.00595685,0.013546541,0.893260002,0.004814568,0.004166653,,,,,
Don't be a product of your circumstances; be a product of your decisions.,0.226725042,0.132062852,0.02245966,0.00425794,0.595007181,0.015366114,0.004121209,,,,,
"When life gives you lemons, make lemonade, and then sell it.",0.048235625,0.021852065,0.001709989,0.117244378,0.798549235,0.004158046,0.008250702,,,,,
Kindness is free; sprinkle it everywhere.,0.030548232,0.069617622,0.004365466,0.026267,0.858279705,0.007911935,0.003010031,,,,,
"Your vibe attracts your tribe, so choose wisely.",0.010827236,0.023214391,0.001492171,0.027381556,0.928986013,0.004138875,0.003959863,,,,,
Sometimes the best response is no response.,0.045332152,0.204718754,0.007082183,0.002228973,0.681744516,0.050301515,0.008591916,,,,,
"Be a voice, not an echo.",0.020867975,0.030031832,0.020469112,0.002960613,0.910268128,0.011274612,0.004127678,,,,,
The best is yet to come.,0.002963957,0.004666339,0.005388224,0.057837773,0.913270414,0.006387224,0.009486069,,,,,
Don't just dream; do.,0.064096496,0.009872429,0.220677093,0.047073014,0.578714013,0.032688096,0.046878859,,,,,
"Life is a journey that must be traveled, no matter how bad the roads and accommodations.",0.02728196,0.385240793,0.096548952,0.004953014,0.359458894,0.122764111,0.003752235,,,,,
Be fearless in the pursuit of what sets your soul on fire.,0.150366247,0.005183643,0.756520152,0.00872153,0.072689869,0.00448984,0.002028721,,,,,
"Your time is now; start where you are, use what you have, do what you can.",0.2636742,0.015445789,0.269777983,0.006191205,0.426608741,0.011212474,0.007089599,,,,,
It's okay not to be okay as long as you are not giving up.,0.138175711,0.220708296,0.049778793,0.012247874,0.413102746,0.16412735,0.001859076,,,,,
The only limits that exist are the ones you place on yourself.,0.023536509,0.023192961,0.003238759,0.004072633,0.932061255,0.006460871,0.007437008,,,,,
Your potential is endless.,0.01066078,0.003035224,0.006473698,0.06242346,0.839386284,0.00599694,0.072023571,,,,,
"Keep your head high, keep your chin up, and most importantly, keep smiling.",0.01603917,0.017138148,0.000967888,0.261399627,0.68323797,0.015393704,0.005823453,,,,,
"Sometimes you win, sometimes you learn.",0.047940478,0.021775918,0.002723111,0.082789689,0.833621681,0.005029304,0.006119854,,,,,
The goal is not to be better than anyone else but to be better than you used to be.,0.008056853,0.015777532,0.002410719,0.021009898,0.938869059,0.006923776,0.006952095,,,,,
Your life does not get better by chance; it gets better by change.,0.027049134,0.013208949,0.007676501,0.008410693,0.914304376,0.022712456,0.006637977,,,,,
Create the life you can't wait to wake up to.,0.012666667,0.003700188,0.014535978,0.091218054,0.841572404,0.009395238,0.026911408,,,,,
Don't count the days; make the days count.,0.130793765,0.030189523,0.013231372,0.004221283,0.789106667,0.019031897,0.01342546,,,,,
Life is short; buy the shoes.,0.015443616,0.005134183,0.006889133,0.020131594,0.933154047,0.014385434,0.004861983,,,,,
The only impossible journey is the one you never begin.,0.010474685,0.008812388,0.16910547,0.006168438,0.759333193,0.009745372,0.036360521,,,,,
Your potential is like a seed; it needs nurturing to grow.,0.008371005,0.013811593,0.005371283,0.006328985,0.948574543,0.006957403,0.010585196,,,,,
"Confidence is not ""They will like me."" Confidence is ""I'll be fine if they don't.""",0.018351713,0.0154008,0.019825682,0.018705983,0.920283139,0.004363137,0.00306956,,,,,
A strong woman looks a challenge in the eye and gives it a wink.,0.02342882,0.365997285,0.001704519,0.301928848,0.292595446,0.009366855,0.004978233,,,,,
Your worth is not determined by others' opinions.,0.059596144,0.049146418,0.005810325,0.011869398,0.858606517,0.010332196,0.004638985,,,,,
You're never too old to set another goal or to dream a new dream.,0.004468371,0.005290894,0.004499216,0.007379043,0.958230793,0.007065695,0.013066021,,,,,
Your attitude determines your direction.,0.072132081,0.042153191,0.00401001,0.003983748,0.868029833,0.005975852,0.003715333,,,,,
The best way to predict the future is to create it.,0.007246144,0.004033189,0.004034231,0.006355843,0.969185531,0.002260657,0.006884289,,,,,
Life is short; do stuff that matters.,0.038719118,0.019063747,0.007316163,0.037752252,0.879800379,0.014200442,0.003147873,,,,,
Wake up with determination; go to bed with satisfaction.,0.113182977,0.015533213,0.013810862,0.189272642,0.632571578,0.029545719,0.006083076,,,,,
Bloom where you are planted.,0.019983998,0.022942711,0.004711578,0.015347529,0.913196921,0.008617152,0.015200092,,,,,
What you get by achieving your goals is not as important as what you become by achieving your goals.,0.066577435,0.034427658,0.001656616,0.019031415,0.854024887,0.004897146,0.019384874,,,,,
Be the kind of person your dog thinks you are.,0.064857692,0.142580435,0.00560567,0.018836036,0.756801605,0.006057551,0.005260997,,,,,
Don't be afraid to start over. It's a brand new opportunity to rebuild what you truly want.,0.002965859,0.002478675,0.910886884,0.006107688,0.066973716,0.004061674,0.006525587,,,,,
The best way to predict your future is to create it.,0.007937008,0.004552082,0.004107681,0.00662481,0.9692927,0.002417062,0.005068643,,,,,
What's the most adventurous thing you've ever done?,0.010255679,0.00666702,0.011253583,0.021435544,0.495554388,0.003148153,0.451685607,,,,,
"Wow, that sunset is breathtaking!",0.007035515,0.003497997,0.012716287,0.042594168,0.022992019,0.004314601,0.906849384,,,,,
Can you believe it's been a year since we started this journey?,0.008970725,0.003414892,0.002477924,0.003153887,0.015092153,0.002515888,0.964374542,,,,,
I can't wait to see where life takes us next!,0.001817802,0.000613735,0.001782639,0.974310398,0.012612722,0.00241955,0.006443149,,,,,
Why do we always underestimate the power of a good laugh?,0.035441879,0.011596384,0.013685176,0.003059658,0.64061451,0.007040707,0.288561702,,,,,
Have you ever danced in the rain just because?,0.024768258,0.041352201,0.015081913,0.013284881,0.575427413,0.017759375,0.312325925,,,,,
"There's something magical about the sound of waves crashing on the shore, don't you think?",0.023993609,0.043427996,0.147270247,0.01838069,0.064720035,0.014754237,0.68745321,,,,,
I'm on a mission to find the perfect playlist for every mood. Any recommendations?,0.005152662,0.002244319,0.002341667,0.032966096,0.902237475,0.005497276,0.049560513,,,,,
Isn't it amazing how a simple cup of tea can soothe the soul?,0.004832237,0.005978978,0.003525994,0.022276292,0.042948578,0.007148277,0.913289607,,,,,
What's your favorite way to unwind after a long day?,0.004643152,0.009403119,0.002777324,0.061089482,0.860811114,0.019337101,0.041938681,,,,,
Why do we wait for Fridays to celebrate? Let's make every day a reason to rejoice!,0.006503325,0.001035913,0.000512635,0.937556088,0.027271353,0.004368198,0.022752378,,,,,
Can you imagine a world without music? It's like a language everyone understands.,0.021645039,0.016059242,0.010938504,0.013650068,0.128217682,0.003109308,0.806380153,,,,,
I just finished a book that changed my perspective completely. Have you read anything like that lately?,0.017216245,0.029697377,0.00562826,0.012790197,0.497725517,0.005625055,0.431317329,,,,,
Ever notice how a smile from a stranger can brighten your entire day?,0.012397643,0.009968213,0.003047656,0.608923495,0.078715838,0.003890294,0.283056855,,,,,
"Life's too short to wear boring colors. Today, I'm embracing the vibrant hues!",0.010105724,0.008344442,0.00080446,0.78874594,0.06889651,0.112846442,0.010256563,,,,,
What's the one piece of advice you wish you could give your younger self?,0.010162884,0.010937682,0.018846866,0.005102292,0.789451301,0.0193855,0.146113396,,,,,
Shoutout to all the strong women who've paved the way for us. Let's continue breaking those glass ceilings!,0.924342811,0.023103099,0.014389822,0.006391102,0.019175816,0.004480198,0.008116925,,,,,
Isn't it funny how a small act of kindness can have a ripple effect on the entire day?,0.044131104,0.037517704,0.007111455,0.148575902,0.071316183,0.010037576,0.681310058,,,,,
Who needs a superhero when you have your best friend by your side?,0.021521481,0.015898002,0.004309808,0.018643778,0.750970781,0.005975431,0.182680726,,,,,
"Do you ever feel like you're on the verge of a breakthrough, and all you need is that one moment of courage?",0.011850353,0.007665721,0.367128789,0.104140416,0.469712466,0.005046401,0.034455862,,,,,
"The best stories often begin with ""Once upon a time in the middle of an ordinary life...""",0.003258435,0.009254341,0.007952738,0.021510944,0.933794677,0.002560644,0.021668257,,,,,
Why is it that a cup of hot cocoa feels like a hug from the inside?,0.008922094,0.040299512,0.001951313,0.492441565,0.359784782,0.010092004,0.086508736,,,,,
"Have you ever had a moment when a song played, and suddenly, you were transported back in time?",0.00635375,0.003224642,0.01729046,0.0029303,0.021556463,0.00148276,0.947161615,,,,,
"Let's make a pact to never lose our sense of wonder, no matter how old we get.",0.007682732,0.005310712,0.009296557,0.009575646,0.463971406,0.010460745,0.493702173,,,,,
Isn't it fascinating how different scents can evoke the most vivid memories?,0.011284719,0.029470442,0.009171014,0.01397331,0.444487542,0.003938437,0.487674505,,,,,
Who needs a magic wand when you have the power of determination and hard work?,0.01596508,0.007088377,0.005406969,0.004912287,0.840315878,0.003751997,0.122559451,,,,,
Why is it that we tend to remember the compliments we receive years later?,0.015322845,0.013544297,0.002473274,0.001861728,0.732258379,0.004165404,0.230374068,,,,,
Imagine if we could see emotions as colors. What color would joy be?,0.016407367,0.01022323,0.002232524,0.594702005,0.325335383,0.015358024,0.035741456,,,,,
"Life's like a puzzle; sometimes, you need to step back to see the bigger picture.",0.011077769,0.006292852,0.032971628,0.00570636,0.891012669,0.013782628,0.039156094,,,,,
What's your go-to karaoke song that you'd confidently sing in front of a crowd?,0.02175984,0.004952207,0.023080967,0.057513937,0.743452609,0.002951297,0.146289155,,,,,
"Have you ever met someone and felt an instant connection, like you've known them forever?",0.009671529,0.014031018,0.041520376,0.167945907,0.284277081,0.006760236,0.475793779,,,,,
"If you could have dinner with any historical figure, who would it be and why?",0.019038655,0.019471917,0.007424297,0.002553234,0.883469284,0.002396976,0.065645657,,,,,
There's something magical about the first snowfall. Don't you agree?,0.020260746,0.034872528,0.020145023,0.045242708,0.175186545,0.005408967,0.698883474,,,,,
What's your favorite way to spend a lazy Sunday afternoon?,0.012103109,0.007155156,0.001493793,0.25548172,0.638703287,0.022718258,0.062344704,,,,,
Have you ever had a dream that felt so real you woke up questioning reality?,0.010616007,0.004709963,0.263231754,0.007378249,0.039606921,0.003153354,0.671303809,,,,,
"If you could have a conversation with your future self, what advice would you ask for?",0.019209305,0.014776252,0.072577,0.004567926,0.852161527,0.01214787,0.02456018,,,,,
Isn't it funny how a good book can transport you to another world within seconds?,0.035213746,0.027335899,0.006103232,0.089667954,0.037532136,0.00899738,0.795149684,,,,,
What's the soundtrack of your life right now?,0.019685458,0.025625497,0.018455042,0.011538192,0.54886961,0.055268757,0.320557415,,,,,
"Life's a rollercoaster; sometimes, you just have to throw your hands in the air and enjoy the ride.",0.008650543,0.007889731,0.003557073,0.420874089,0.517395079,0.01222102,0.029412491,,,,,
Have you ever had a moment when you felt like you were exactly where you were meant to be?,0.014409672,0.016943919,0.11578811,0.056638103,0.280366242,0.006636837,0.509217143,,,,,
"Who would play you in a movie about your life, and what would the title be?",0.017109852,0.017078767,0.008625893,0.010378879,0.887735605,0.004070311,0.055000681,,,,,
Why do we often find inspiration in the most unexpected places?,0.005481077,0.001165512,0.005820252,0.008633321,0.050816927,0.001789751,0.926293135,,,,,
Imagine if we could bottle laughter. It would be the most precious elixir.,0.016648779,0.010567752,0.002429672,0.222962201,0.708255351,0.004887844,0.034248423,,,,,
What's your secret talent that not many people know about?,0.017343955,0.010444911,0.008072379,0.005286733,0.548248708,0.003940996,0.406662315,,,,,
Ever have a day when your playlist seems to perfectly match your mood?,0.012053654,0.007040566,0.005185836,0.012733776,0.796464264,0.007070529,0.159451351,,,,,
Isn't it incredible how a single act of kindness can create a ripple effect?,0.012527456,0.009180215,0.004900164,0.007237778,0.039911307,0.001721795,0.924521327,,,,,
"If you could have any animal as a sidekick, which would you choose?",0.015294326,0.016279211,0.003552539,0.005310821,0.927484632,0.003261366,0.028817125,,,,,
"Have you ever had a ""lightbulb"" moment that changed your perspective completely?",0.01473022,0.006487131,0.021029212,0.006495321,0.110648021,0.004084276,0.836525798,,,,,
Life's too short to skip dessert. What's your guilty pleasure treat?,0.007025593,0.004074995,0.002676073,0.095709495,0.746212661,0.03305031,0.11125081,,,,,
"Do you believe in fate, or do you think we create our own destiny?",0.047743969,0.02712501,0.031142354,0.003946486,0.841490805,0.009808832,0.038742494,,,,,
Why is it that a good laugh can instantly lift your spirits?,0.014340935,0.004881047,0.00307688,0.551434457,0.29796499,0.003599453,0.124702275,,,,,
What's the most courageous thing you've ever done?,0.018666925,0.007543548,0.031613987,0.029991839,0.346958697,0.001647994,0.563577056,,,,,
Isn't it remarkable how nature has the power to heal and rejuvenate?,0.00506813,0.004616894,0.002053173,0.002214342,0.040363539,0.00172266,0.943961263,,,,,
Have you ever had a day when everything seemed to fall into place?,0.0125221,0.006253824,0.014251639,0.013624513,0.561253846,0.008566517,0.383527547,,,,,
"Life's a journey, not a destination. What's your next adventure?",0.011651145,0.005474517,0.019911837,0.00357694,0.913454711,0.006481624,0.039449312,,,,,
"If you could time travel, would you go to the past or the future?",0.01296686,0.015552547,0.008177644,0.002002103,0.922389925,0.004792861,0.034117993,,,,,
Isn't it strange how a single scent can trigger a flood of memories?,0.037252959,0.232439056,0.108056642,0.003368142,0.14089334,0.005216876,0.472772986,,,,,
What's your favorite way to practice self-care?,0.025203237,0.013982989,0.005675233,0.044257838,0.798019111,0.004843451,0.108018175,,,,,
Ever had a serendipitous encounter that changed your life?,0.004144226,0.002885084,0.042579629,0.032405533,0.04323579,0.004971006,0.869778752,,,,,
Why do you think we're drawn to certain places as if we have a connection to them?,0.0378411,0.014363698,0.006868748,0.002930585,0.373351246,0.003275598,0.561369002,,,,,
What's the most valuable lesson you've learned from a failure?,0.020785613,0.010178074,0.00683792,0.010662152,0.799685895,0.003501369,0.148348987,,,,,
Have you ever had a moment when you felt completely in sync with the universe?,0.01105475,0.013159672,0.030520042,0.025607103,0.375161886,0.004713552,0.539783001,,,,,
Life's full of surprises. What's something unexpected that brought you joy recently?,0.003962199,0.000654034,0.002258889,0.298907399,0.034254618,0.00824965,0.651713252,,,,,
Why is it that we often remember the smallest details about the happiest moments?,0.01339195,0.008719826,0.001245335,0.053953558,0.622431636,0.006279206,0.293978512,,,,,
What's your personal mantra that keeps you going on tough days?,0.019008663,0.008106573,0.028817635,0.00473337,0.905340314,0.006568353,0.027425131,,,,,
Have you ever had a moment when you felt truly alive and present?,0.002054062,0.01041604,0.026118368,0.520926714,0.258026034,0.08482179,0.097637028,,,,,
"If you could have any superpower, what would it be and why?",0.05682186,0.010679134,0.020047858,0.004388364,0.715995312,0.004213436,0.187854052,,,,,
Isn't it fascinating how a simple conversation can change the course of your day?,0.008894872,0.008302394,0.005680023,0.031408966,0.169386551,0.003058347,0.773268819,,,,,
What's your favorite memory from a childhood summer?,0.015964758,0.009041508,0.00522898,0.038868513,0.751614988,0.00366209,0.175619125,,,,,
Life's a series of choices. What's one decision you're grateful you made?,0.013920816,0.00544116,0.001661765,0.046330899,0.791278481,0.018928697,0.122438222,,,,,
Why is it that we often find strength in the most challenging situations?,0.017487703,0.008877046,0.006104803,0.00367023,0.630583942,0.003316496,0.32995978,,,,,
"Have you ever experienced a ""Eureka!"" moment that solved a long-standing problem?",0.011045679,0.003834554,0.15368852,0.035592813,0.050983261,0.00273788,0.742117345,,,,,
What's your favorite way to express creativity?,0.025351828,0.01246481,0.005768239,0.043112822,0.680672407,0.00424745,0.228382364,,,,,
Isn't it incredible how a good friend can turn a mundane day into an adventure?,0.009332902,0.00481669,0.006215123,0.010972186,0.022176424,0.001551367,0.944935262,,,,,
What's the most beautiful place you've ever visited?,0.004674642,0.00338758,0.006069437,0.183148101,0.064878181,0.003395242,0.734446764,,,,,
Have you ever had a day when you felt like you could conquer the world?,0.014141611,0.005963952,0.015118118,0.610948145,0.128792852,0.00360365,0.221431628,,,,,
Life's too short for regrets. What's something you're glad you didn't postpone?,0.005623427,0.007252145,0.00416542,0.130032718,0.230974004,0.580647886,0.041304395,,,,,
Why is it that a heartfelt compliment can boost your confidence for days?,0.030016975,0.00628652,0.00557717,0.080981158,0.514932036,0.003139358,0.359066814,,,,,
What's the most awe-inspiring piece of art you've ever encountered?,0.005418321,0.002799213,0.343503982,0.035950273,0.02674753,0.001951082,0.583629549,,,,,
Have you ever felt a connection to a song as if it was written just for you?,0.011009747,0.034881812,0.017439486,0.014161731,0.56142199,0.005220382,0.355864912,,,,,
Life's like a book with chapters. What chapter are you currently writing?,0.010061624,0.010058056,0.00717168,0.004116598,0.857450068,0.008893027,0.102249026,,,,,
What's your favorite quote or mantra that inspires you?,0.029317509,0.00778756,0.005880218,0.051649563,0.692816377,0.002814027,0.209734827,,,,,
Isn't it amazing how a random act of kindness can create a chain reaction?,0.009140739,0.005188413,0.002430728,0.006790638,0.020259025,0.001347466,0.954842985,,,,,
What's your favorite way to recharge when you're feeling drained?,0.009566038,0.010043346,0.004103175,0.001930036,0.047874212,0.91516906,0.011314102,,,,,
Have you ever had a day when you felt like you were living in a dream?,0.009304656,0.005387659,0.144984826,0.009096415,0.121257991,0.006815256,0.703153193,,,,,
Why do you think certain scents evoke strong emotions and memories?,0.019909291,0.019223338,0.010864487,0.003035707,0.827701867,0.002783207,0.116482161,,,,,
"Life's an adventure; sometimes, you need to embrace the detours.",0.004028473,0.017467665,0.009790991,0.041196894,0.885571301,0.03376684,0.008177778,,,,,
What's the most courageous conversation you've ever had?,0.011261914,0.006052467,0.029846555,0.029788122,0.41569683,0.001553103,0.505800962,,,,,
Have you ever had a day when you felt like you were in a movie montage?,0.012429132,0.046595722,0.054440279,0.019732825,0.463253886,0.018250601,0.385297596,,,,,
Isn't it fascinating how laughter can connect people across cultures and languages?,0.006664596,0.007538844,0.001675879,0.731539428,0.123873599,0.004715776,0.123991929,,,,,
"Life's a dance; sometimes, you lead, and sometimes, you follow.",0.014167529,0.027367348,0.004939533,0.004913741,0.935121655,0.006398483,0.007091758,,,,,
Why do you think we find comfort in revisiting familiar places and routines?,0.006225287,0.011669891,0.008485539,0.023356477,0.915689528,0.006611214,0.027962122,,,,,
What's your favorite childhood game that you'd still play today?,0.017768405,0.009625676,0.002908397,0.067370206,0.677095294,0.005288556,0.219943449,,,,,
Have you ever experienced a moment of pure serendipity?,0.003650918,0.0019851,0.021524748,0.0231381,0.037484936,0.00375009,0.908466101,,,,,
Isn't it strange how a single sentence can change your entire perspective?,0.013775925,0.047992181,0.018189132,0.002356561,0.04959099,0.001804653,0.86629051,,,,,
What's the most heartwarming act of kindness you've witnessed?,0.008048591,0.007313615,0.004395938,0.272214949,0.314204484,0.002002308,0.391820163,,,,,
Life's too short to hold onto grudges. What's something you're ready to let go of?,0.125812784,0.05188144,0.006236707,0.004018904,0.78278935,0.021220841,0.008039978,,,,,
Why is it that we often find inspiration in the silence between words?,0.01963808,0.021556634,0.019040827,0.003154673,0.51703763,0.009052856,0.410519302,,,,,
What's your go-to affirmation that boosts your confidence?,0.019446624,0.007217959,0.02477302,0.027951807,0.726579249,0.003000709,0.191030651,,,,,
Do you ever feel like the universe conspires to put the right people in your path?,0.018041236,0.036488686,0.009194494,0.051020898,0.856971323,0.00606742,0.022215853,,,,,
"Life's a puzzle; sometimes, the pieces fall into place when you least expect it.",0.008288649,0.002286976,0.002960221,0.00738966,0.886176765,0.006248767,0.086649008,,,,,
What's the most adventurous thing you've tried lately?,0.007267621,0.006180666,0.006956717,0.015490923,0.78566438,0.002918932,0.175520733,,,,,
Ever notice how a good playlist can turn a mundane task into a dance party?,0.012921619,0.005956877,0.002467487,0.012515055,0.063291624,0.003241545,0.899605751,,,,,
Why do we often downplay our achievements when we should be celebrating them?,0.094463214,0.056695007,0.004084761,0.005561126,0.778241694,0.008876303,0.052077919,,,,,
Isn't it fascinating how a simple act of gratitude can shift your entire perspective?,0.010173474,0.00731854,0.003481002,0.030492809,0.184327245,0.002611738,0.76159519,,,,,
Life's too short for a boring wardrobe. Let's embrace our unique styles!,0.016862245,0.011070956,0.002193238,0.09834896,0.223478168,0.633513987,0.01453238,,,,,
What's your favorite way to practice mindfulness in a hectic world?,0.023368597,0.00935679,0.009443748,0.015722312,0.874562919,0.004693934,0.062851727,,,,,
Have you ever had a moment when a stranger's kindness restored your faith in humanity?,0.014825801,0.096516907,0.043455429,0.174970612,0.330215544,0.004216644,0.335799038,,,,,
Why is it that we remember the lyrics to our favorite songs but struggle with other details?,0.032431353,0.041455317,0.03306267,0.00179303,0.772144854,0.062188461,0.056924228,,,,,
Do you ever wonder if parallel universes exist where different versions of our lives play out?,0.010906708,0.008349195,0.006467026,0.00274408,0.026434518,0.002489613,0.942608833,,,,,
Life's like a book; each chapter teaches us something new. What's your current lesson?,0.010847746,0.007419663,0.00595515,0.004147769,0.867700577,0.002836073,0.101093069,,,,,
"What's your happy place, real or imaginary, that instantly lifts your spirits?",0.007565785,0.001640572,0.002593907,0.64107132,0.116520122,0.00570591,0.224902362,,,,,
Ever had a day when you felt like you had a personal cheering squad in the universe?,0.007155151,0.009981591,0.002244916,0.755982935,0.16355215,0.003506957,0.057576217,,,,,
Why is it that we find solace in the sound of rain tapping on the window?,0.010857441,0.073971115,0.007085027,0.127790853,0.636082768,0.118475042,0.025737796,,,,,
What's your favorite way to spread positivity in the world?,0.027829856,0.015645847,0.004910069,0.091129959,0.69714421,0.00543213,0.157907963,,,,,
Isn't it incredible how a simple cup of tea can turn a bad day around?,0.014234115,0.00871375,0.00738942,0.005090961,0.028319132,0.002133505,0.934119105,,,,,
Life's a canvas waiting to be painted with the colors of our experiences. What's your palette?,0.007698575,0.014333319,0.008383256,0.002669244,0.909899354,0.006860657,0.050155554,,,,,
